flight_id,aircraft_type,aircraft_age,operational_hours,days_since_maintenance,maintenance_count,airline,origin,destination,distance,flight_duration,weather_condition,weather_severity,engine_temperature,oil_pressure,vibration_level,fuel_consumption,hydraulic_pressure,cabin_pressure,previous_delays,crew_experience,equipment_failure,flight_cancelled
FL10031,Boeing 787,9,47427,164,30,Continental Express,IAH,MCO,848,1.29,Clear,1,320.92,21.86,17.87,947.44,2812.93,10.78,4,20.72,0,0
FL10032,Boeing 777,13,46445,82,9,SkyConnect,ATL,DEN,1199,2.0,Stormy,5,340.0,30.01,18.08,1639.5,3194.91,10.65,4,19.24,0,0
FL10033,Boeing 787,0,47540,417,38,Continental Express,ORD,SFO,1846,3.79,Cloudy,2,340.0,23.94,26.23,2415.09,3102.83,10.88,4,12.36,1,0
FL10034,Boeing 737,12,22949,449,44,AirGlobal,ATL,DEN,1199,1.94,Clear,1,340.0,28.74,27.37,1607.41,3008.07,11.35,5,24.26,1,0
FL10035,Airbus A320,16,20198,303,27,Continental Express,ORD,SFO,1846,3.89,Cloudy,2,340.0,29.23,17.65,1495.59,2940.24,11.09,2,22.8,0,0
FL10036,Airbus A350,7,43318,30,46,Continental Express,DCA,SAN,2279,4.05,Clear,1,315.51,32.86,18.54,2347.66,3053.36,10.74,2,14.36,0,0
FL10037,Boeing 787,10,12637,400,12,OceanAir,JFK,LAX,2475,5.12,Clear,1,306.3,31.66,22.02,3665.91,3040.77,10.72,4,5.89,0,0
FL10038,Boeing 737,20,40749,1,9,PacificWings,MIA,BOS,1258,2.09,Clear,1,312.76,43.01,17.23,1041.02,3119.76,11.13,7,22.09,0,0
FL10039,Boeing 777,25,14568,8,39,AirGlobal,MIA,BOS,1258,2.36,Clear,1,289.1,51.04,12.63,1331.27,2985.01,11.25,7,5.06,0,0
FL10040,Airbus A350,10,39638,493,22,SkyConnect,DCA,SAN,2279,5.02,Clear,1,309.89,18.68,20.07,1855.22,2928.83,10.71,9,14.31,0,0
FL10041,Boeing 737,24,43563,394,7,OceanAir,ATL,DEN,1199,2.31,Cloudy,2,340.0,24.74,28.98,1451.48,3025.78,10.88,4,10.35,0,0
FL10042,Boeing 787,7,11554,365,10,AirGlobal,MIA,BOS,1258,2.1,Clear,1,324.41,30.5,16.05,1147.9,2874.63,10.79,7,22.63,1,0
FL10043,Boeing 787,7,5324,36,28,PacificWings,DFW,SEA,1660,3.25,Foggy,4,274.65,43.43,12.55,1627.68,2868.36,11.17,8,18.52,0,0
FL10044,Airbus A320,12,33043,133,10,OceanAir,ATL,DEN,1199,2.59,Cloudy,2,304.87,37.52,19.98,1032.46,3002.44,11.43,2,3.19,0,0
FL10045,Boeing 787,6,10865,172,6,PacificWings,JFK,LAX,2475,5.25,Clear,1,293.04,43.21,17.0,3011.94,2988.63,10.91,0,21.57,0,0
FL10046,Boeing 787,4,9567,459,13,OceanAir,DCA,SAN,2279,4.41,Stormy,5,301.68,34.17,20.47,3020.48,3119.81,11.33,4,20.74,0,0
FL10047,Boeing 737,3,17984,237,46,AirGlobal,LAS,PHX,256,0.87,Clear,1,304.71,31.19,9.95,258.81,3099.04,11.0,8,10.17,0,0
FL10048,Boeing 777,20,37455,104,43,SkyConnect,JFK,LAX,2475,4.51,Clear,1,337.53,34.09,22.02,2904.22,3157.56,11.29,5,19.31,0,0
FL10049,Airbus A320,0,39141,196,26,PacificWings,ORD,SFO,1846,3.68,Rainy,3,340.0,30.95,16.17,1966.31,2982.8,11.1,7,5.45,0,0
FL10050,Boeing 737,1,49538,95,40,Continental Express,ORD,SFO,1846,3.2,Clear,1,328.27,21.36,23.49,2073.8,3178.91,10.65,7,13.64,0,1
FL10051,Boeing 787,11,28306,460,48,SkyConnect,ATL,DEN,1199,2.93,Stormy,5,340.0,22.05,23.57,1442.88,3042.69,10.92,7,21.33,0,1
FL10052,Airbus A350,4,37244,346,40,PacificWings,ATL,DEN,1199,2.41,Cloudy,2,340.0,24.12,20.92,1240.53,3121.14,10.5,8,4.63,0,0
FL10053,Boeing 777,5,9577,391,22,PacificWings,IAH,MCO,848,1.95,Cloudy,2,315.23,35.18,13.35,776.65,2813.55,10.81,5,7.06,0,0
FL10054,Airbus A320,16,47163,361,24,PacificWings,DFW,SEA,1660,3.08,Foggy,4,340.0,36.13,23.83,1405.94,3099.98,10.71,2,10.04,0,0
FL10055,Boeing 777,28,25861,144,44,Continental Express,LAS,PHX,256,0.02,Cloudy,2,326.99,44.99,23.43,291.01,2998.8,11.27,3,6.18,0,0
FL10056,Airbus A350,9,35249,467,38,PacificWings,DCA,SAN,2279,4.45,Clear,1,340.0,28.94,27.02,1866.43,2888.79,10.73,7,4.39,0,0
FL10057,Boeing 737,0,21059,495,12,SkyConnect,DFW,SEA,1660,3.25,Cloudy,2,324.82,29.03,21.84,1789.53,3067.23,10.7,6,22.62,1,1
FL10058,Boeing 737,22,21079,381,23,OceanAir,JFK,LAX,2475,4.45,Rainy,3,340.0,26.21,23.5,2429.45,2951.88,11.09,3,16.36,0,0
FL10059,Boeing 787,1,8083,355,26,PacificWings,DFW,SEA,1660,3.21,Cloudy,2,315.02,34.28,17.94,1539.61,2993.91,11.01,8,14.46,0,0
FL10060,Boeing 787,5,18685,235,8,SkyConnect,JFK,LAX,2475,5.28,Rainy,3,328.99,41.02,17.19,2842.94,2826.87,10.91,5,21.08,0,1
FL10061,Boeing 737,20,41760,287,10,AirGlobal,DFW,SEA,1660,3.05,Cloudy,2,340.0,39.88,21.21,2301.88,2961.75,11.27,1,5.82,0,0
FL10062,Boeing 737,3,22874,282,33,AirGlobal,LAS,PHX,256,0.05,Clear,1,305.67,27.39,21.25,306.3,2990.42,11.16,5,5.11,0,0
FL10063,Boeing 737,14,49275,467,39,PacificWings,DFW,SEA,1660,3.39,Foggy,4,340.0,22.23,22.42,1879.06,2937.75,10.85,0,13.4,0,0
FL10064,Boeing 777,6,25354,131,41,Continental Express,DFW,SEA,1660,3.62,Foggy,4,300.77,38.36,19.23,1933.75,2834.68,11.46,2,18.84,0,0
FL10065,Boeing 787,5,40887,198,12,SkyConnect,DCA,SAN,2279,4.54,Clear,1,300.86,33.72,19.95,1877.35,3078.97,10.8,7,24.33,0,0
FL10066,Airbus A320,19,26510,483,22,Continental Express,IAH,MCO,848,2.35,Cloudy,2,340.0,29.77,16.62,963.96,3154.0,11.03,9,18.67,1,1
FL10067,Airbus A320,16,45547,349,26,AirGlobal,ORD,SFO,1846,4.0,Rainy,3,320.31,17.21,24.97,1508.33,3148.04,10.52,6,6.27,0,0
FL10068,Airbus A350,10,40974,302,33,OceanAir,IAH,MCO,848,1.54,Clear,1,340.0,31.31,22.42,1262.55,3107.31,10.92,6,14.02,0,1
FL10069,Airbus A350,7,33413,498,8,Continental Express,JFK,LAX,2475,5.15,Clear,1,340.0,22.91,20.68,2195.59,3182.57,11.3,4,4.06,0,0
FL10070,Boeing 737,13,41970,62,17,AirGlobal,IAH,MCO,848,1.65,Rainy,3,309.18,35.07,16.43,749.83,2818.78,10.88,8,6.29,0,0
FL10071,Boeing 777,4,9245,47,27,AirGlobal,DFW,SEA,1660,3.75,Cloudy,2,282.66,42.96,11.21,1588.8,2889.53,11.04,8,22.58,0,0
FL10072,Airbus A320,2,44642,476,33,SkyConnect,DCA,SAN,2279,4.64,Cloudy,2,340.0,18.0,24.73,2474.81,2949.08,10.76,4,3.12,0,0
FL10073,Airbus A320,15,4020,284,9,Continental Express,ATL,DEN,1199,2.41,Stormy,5,322.1,45.3,18.36,1415.59,3145.8,11.23,7,20.34,0,0
FL10074,Boeing 777,26,19088,269,47,Continental Express,DFW,SEA,1660,3.42,Clear,1,310.2,36.89,18.18,1333.98,3127.98,10.73,6,5.7,0,0
FL10075,Boeing 737,11,34062,450,36,Continental Express,ORD,SFO,1846,3.62,Cloudy,2,330.87,23.39,20.21,1488.52,3127.47,10.63,2,19.5,0,0
FL10076,Boeing 737,14,26821,37,33,PacificWings,JFK,LAX,2475,4.78,Rainy,3,313.58,40.05,18.25,2800.47,2823.17,10.57,1,22.05,0,0
FL10077,Boeing 737,3,26338,227,16,SkyConnect,ATL,DEN,1199,2.36,Rainy,3,285.86,29.95,23.38,1188.85,3198.85,10.93,8,5.76,0,0
FL10078,Airbus A350,3,47766,462,24,Continental Express,DCA,SAN,2279,4.17,Foggy,4,340.0,20.62,21.27,3328.55,2967.89,11.14,5,19.48,0,0
FL10079,Airbus A320,5,20982,162,39,Continental Express,JFK,LAX,2475,4.97,Clear,1,304.89,35.06,19.34,3657.4,2874.21,11.37,4,5.53,0,0
FL10080,Airbus A320,6,18343,428,28,Continental Express,JFK,LAX,2475,5.01,Rainy,3,335.85,24.51,19.75,2196.88,3074.23,10.93,5,7.19,1,0
FL10081,Airbus A350,4,36201,344,12,OceanAir,DCA,SAN,2279,4.42,Clear,1,303.89,26.51,19.07,2588.85,3040.01,10.79,8,21.78,0,1
FL10082,Boeing 777,21,4762,88,45,Continental Express,DCA,SAN,2279,4.56,Cloudy,2,277.61,42.64,18.52,1838.79,2930.58,11.02,0,22.3,1,0
FL10083,Airbus A320,6,44201,166,43,SkyConnect,MIA,BOS,1258,2.71,Rainy,3,311.59,29.99,18.76,1844.33,2849.69,11.4,8,23.53,1,1
FL10084,Airbus A320,17,26291,264,12,AirGlobal,JFK,LAX,2475,5.22,Clear,1,331.98,31.3,21.87,3395.97,2980.93,11.14,8,5.77,0,0
FL10085,Boeing 777,11,11326,12,17,AirGlobal,JFK,LAX,2475,5.66,Clear,1,285.72,49.36,11.83,3490.45,2973.46,10.54,1,2.48,0,0
FL10086,Boeing 787,7,3920,59,7,Continental Express,ATL,DEN,1199,2.35,Clear,1,277.43,35.32,10.77,1664.59,2869.68,11.46,9,19.08,0,0
FL10087,Boeing 737,11,37221,20,28,PacificWings,ORD,SFO,1846,3.98,Cloudy,2,340.0,33.92,15.33,2260.12,3039.09,11.29,6,8.37,0,0
FL10088,Airbus A320,11,49364,18,44,AirGlobal,ORD,SFO,1846,3.55,Rainy,3,330.37,39.63,13.62,2294.17,2949.14,11.01,4,21.65,0,0
FL10089,Airbus A320,14,33781,231,29,Continental Express,ORD,SFO,1846,3.49,Cloudy,2,329.14,25.52,14.58,2585.49,2803.61,11.09,7,11.12,0,0
FL10090,Boeing 787,9,45738,118,18,SkyConnect,JFK,LAX,2475,4.77,Cloudy,2,295.53,29.2,15.76,2998.51,3179.43,10.75,5,5.86,1,0
FL10091,Boeing 787,4,16563,165,48,AirGlobal,IAH,MCO,848,2.02,Cloudy,2,302.55,34.0,15.46,1264.1,2849.19,10.73,9,2.9,1,1
FL10092,Boeing 787,4,38946,325,37,PacificWings,LAS,PHX,256,0.34,Clear,1,333.1,31.73,22.28,286.29,3006.24,10.99,5,5.21,1,1
FL10093,Boeing 777,15,2969,234,12,SkyConnect,LAS,PHX,256,0.32,Rainy,3,331.07,40.18,12.19,354.99,3177.85,11.18,1,7.62,0,0
FL10094,Airbus A320,16,30259,475,12,OceanAir,IAH,MCO,848,1.88,Rainy,3,340.0,28.95,28.38,885.31,2863.71,11.1,8,21.93,0,0
FL10095,Airbus A320,20,20614,489,15,OceanAir,DCA,SAN,2279,4.48,Clear,1,340.0,31.75,23.63,3039.27,3119.13,10.94,0,4.76,0,1
FL10096,Boeing 777,14,24616,76,11,AirGlobal,JFK,LAX,2475,4.34,Cloudy,2,323.35,41.22,22.35,2749.96,2805.87,11.09,7,17.37,0,0
FL10097,Airbus A350,2,23612,282,12,PacificWings,ORD,SFO,1846,2.94,Clear,1,340.0,26.39,13.56,1992.16,3032.07,11.03,6,20.7,0,0
FL10098,Boeing 737,12,25596,407,47,PacificWings,DFW,SEA,1660,3.24,Stormy,5,336.57,24.1,20.11,1892.58,2902.71,10.78,2,15.36,1,0
FL10099,Boeing 787,1,45976,77,8,OceanAir,ATL,DEN,1199,2.43,Clear,1,339.84,33.22,19.36,1114.12,2918.11,11.29,9,23.11,0,1
FL10100,Boeing 777,21,43368,172,49,AirGlobal,DFW,SEA,1660,3.46,Cloudy,2,331.9,28.59,20.43,1593.03,2884.82,11.11,9,10.3,0,0
FL10101,Boeing 777,16,36993,347,41,OceanAir,ATL,DEN,1199,2.72,Rainy,3,322.34,31.29,23.61,1602.65,2859.88,10.92,4,5.86,0,0
FL10102,Airbus A350,6,15996,465,26,PacificWings,MIA,BOS,1258,2.53,Cloudy,2,323.84,21.68,20.94,1350.63,3037.79,11.0,1,8.31,0,0
FL10103,Boeing 787,9,33117,125,43,PacificWings,JFK,LAX,2475,5.26,Cloudy,2,308.04,36.41,16.6,3318.57,2905.96,11.15,3,6.41,0,0
FL10104,Boeing 787,8,7704,316,6,OceanAir,ORD,SFO,1846,3.54,Cloudy,2,312.98,38.01,11.94,2355.67,2892.33,10.96,5,17.4,0,0
FL10105,Airbus A320,16,10686,286,12,OceanAir,ORD,SFO,1846,3.44,Foggy,4,314.46,40.74,19.06,1697.09,2963.79,10.92,6,19.39,0,0
FL10106,Boeing 737,19,11754,144,34,PacificWings,ATL,DEN,1199,2.24,Clear,1,282.54,43.15,15.44,1396.44,3049.43,10.59,6,21.89,0,0
FL10107,Boeing 777,19,20169,142,40,OceanAir,DFW,SEA,1660,3.0,Clear,1,296.47,25.85,17.77,1789.29,2978.88,11.1,6,5.72,0,0
FL10108,Boeing 777,27,25819,490,16,SkyConnect,MIA,BOS,1258,2.38,Rainy,3,340.0,25.96,24.03,1702.1,2921.87,10.58,4,2.53,1,1
FL10109,Boeing 787,3,49895,266,29,Continental Express,MIA,BOS,1258,2.3,Clear,1,340.0,20.79,22.8,1797.41,3131.73,10.82,2,11.17,1,1
FL10110,Boeing 737,7,36732,482,8,AirGlobal,IAH,MCO,848,1.85,Clear,1,340.0,24.01,17.65,939.29,2842.27,11.14,1,16.95,1,1
FL10111,Boeing 777,18,43913,266,29,AirGlobal,JFK,LAX,2475,4.99,Foggy,4,331.0,23.38,20.51,2190.3,2921.31,10.6,0,13.72,0,0
FL10112,Boeing 777,6,35171,308,33,SkyConnect,MIA,BOS,1258,2.67,Clear,1,340.0,21.5,19.83,1330.25,2965.65,11.33,4,10.9,0,0
FL10113,Airbus A320,20,38605,79,25,Continental Express,IAH,MCO,848,1.53,Cloudy,2,325.36,26.88,17.96,1003.67,2981.75,11.34,6,5.43,1,0
FL10114,Boeing 787,11,34361,232,39,AirGlobal,ORD,SFO,1846,3.28,Clear,1,300.56,31.39,20.04,2711.28,3114.76,10.82,0,20.6,1,1
FL10115,Boeing 737,17,21281,444,44,SkyConnect,JFK,LAX,2475,5.6,Cloudy,2,322.21,29.05,23.54,3043.64,2826.66,11.02,2,4.43,0,0
FL10116,Boeing 777,7,5940,200,27,PacificWings,ATL,DEN,1199,2.29,Clear,1,302.98,34.14,18.34,1208.08,2939.88,11.27,6,20.03,0,0
FL10117,Airbus A350,4,40261,352,12,SkyConnect,JFK,LAX,2475,5.25,Cloudy,2,324.48,19.9,20.36,2190.3,3046.01,11.27,8,24.08,0,0
FL10118,Boeing 777,9,35964,164,16,OceanAir,JFK,LAX,2475,4.65,Clear,1,319.7,31.56,20.96,3048.09,2862.66,10.54,0,23.35,0,0
FL10119,Boeing 777,26,40896,114,26,SkyConnect,DFW,SEA,1660,3.41,Cloudy,2,322.66,28.36,19.25,2481.19,3068.58,10.82,6,21.47,0,0
FL10120,Boeing 737,12,40933,149,12,OceanAir,IAH,MCO,848,1.81,Clear,1,340.0,29.5,18.03,1125.49,2907.73,11.04,1,4.48,0,0
FL10121,Boeing 787,1,45638,463,27,SkyConnect,DFW,SEA,1660,3.47,Cloudy,2,340.0,23.6,30.0,1673.75,3026.01,11.19,6,15.27,0,0
FL10122,Airbus A320,7,42321,186,20,SkyConnect,IAH,MCO,848,1.87,Rainy,3,338.05,25.12,17.81,1200.66,3063.02,10.81,4,18.86,0,0
FL10123,Boeing 737,8,3159,13,13,SkyConnect,LAS,PHX,256,0.47,Rainy,3,285.5,36.01,7.76,231.48,2922.24,11.38,4,4.87,0,0
FL10124,Airbus A350,9,48639,227,30,SkyConnect,MIA,BOS,1258,2.09,Cloudy,2,308.21,32.5,19.66,1088.29,3035.28,10.98,2,3.49,0,0
FL10125,Airbus A320,3,37727,254,28,AirGlobal,IAH,MCO,848,2.0,Clear,1,335.71,29.2,23.81,724.14,2823.42,10.83,9,18.28,0,0
FL10126,Boeing 737,15,17044,228,34,Continental Express,DFW,SEA,1660,3.1,Clear,1,284.49,36.47,12.86,2182.84,3199.34,11.43,0,11.69,0,0
FL10127,Airbus A320,14,35501,47,18,Continental Express,LAS,PHX,256,0.77,Foggy,4,326.55,35.4,12.65,380.35,2866.12,11.2,5,8.28,0,0
FL10128,Boeing 777,20,18833,35,30,SkyConnect,DFW,SEA,1660,3.47,Clear,1,293.58,32.29,14.23,1421.66,3091.18,11.0,0,19.94,1,1
FL10129,Boeing 737,13,47907,364,35,SkyConnect,IAH,MCO,848,1.68,Clear,1,340.0,27.68,21.58,1257.06,2948.48,10.93,8,19.86,1,1
FL10130,Boeing 777,23,31314,84,22,OceanAir,ORD,SFO,1846,2.96,Clear,1,328.38,34.55,17.45,2200.65,3174.73,10.55,7,7.98,0,0
FL10131,Boeing 777,17,29228,131,27,OceanAir,IAH,MCO,848,1.78,Clear,1,294.99,33.59,18.37,885.87,2845.64,10.65,3,11.61,1,0
FL10132,Boeing 787,0,10879,61,38,OceanAir,JFK,LAX,2475,5.25,Rainy,3,258.17,51.68,15.43,2371.8,3138.77,10.93,4,23.75,0,0
FL10133,Boeing 737,1,12407,368,43,OceanAir,ATL,DEN,1199,2.18,Cloudy,2,316.42,32.07,21.92,1002.81,3114.51,10.7,6,22.06,0,0
FL10134,Boeing 787,3,31933,143,44,OceanAir,JFK,LAX,2475,4.84,Clear,1,322.38,37.76,16.99,2913.3,2999.13,10.61,3,12.39,0,0
FL10135,Boeing 737,4,30450,268,14,PacificWings,IAH,MCO,848,1.62,Rainy,3,311.66,25.92,15.68,1059.89,2878.34,11.4,1,5.63,0,0
FL10136,Boeing 777,6,38711,387,49,OceanAir,IAH,MCO,848,1.62,Foggy,4,340.0,23.88,21.09,787.76,3157.6,11.15,4,12.13,0,1
FL10137,Boeing 787,8,16149,375,20,PacificWings,ORD,SFO,1846,3.69,Clear,1,324.91,26.71,22.34,2765.22,3191.91,11.16,4,14.87,0,0
FL10138,Airbus A350,1,25217,382,9,PacificWings,DFW,SEA,1660,3.47,Clear,1,322.37,30.83,22.14,1692.94,2901.73,11.32,9,7.62,1,1
FL10139,Boeing 777,0,26556,163,38,AirGlobal,IAH,MCO,848,1.5,Cloudy,2,280.88,40.53,21.16,887.57,3136.58,10.97,2,2.72,0,0
FL10140,Boeing 737,2,10127,248,32,PacificWings,DFW,SEA,1660,3.04,Cloudy,2,313.01,35.23,13.8,2334.74,2886.21,10.86,4,2.76,0,0
FL10141,Boeing 777,13,17843,401,43,Continental Express,ORD,SFO,1846,3.78,Rainy,3,335.9,22.07,15.46,1769.78,2952.64,10.63,2,24.47,1,1
FL10142,Boeing 777,24,24383,270,30,PacificWings,LAS,PHX,256,0.67,Rainy,3,336.46,30.7,19.64,305.01,3051.3,11.03,2,22.07,1,0
FL10143,Boeing 737,3,32655,465,34,OceanAir,MIA,BOS,1258,2.54,Clear,1,329.09,29.16,19.83,1533.71,2825.8,11.38,1,17.36,0,0
FL10144,Airbus A350,6,24567,477,34,OceanAir,IAH,MCO,848,1.21,Rainy,3,325.88,36.23,24.19,828.17,2888.09,10.99,4,4.16,0,0
FL10145,Boeing 777,16,21961,216,36,PacificWings,ATL,DEN,1199,2.59,Clear,1,340.0,29.78,12.06,1608.72,3040.77,11.39,5,15.96,0,0
FL10146,Airbus A320,18,29803,311,11,Continental Express,IAH,MCO,848,1.59,Rainy,3,321.08,27.61,15.1,1262.41,2907.58,10.91,5,7.85,0,0
FL10147,Airbus A320,7,47546,380,46,PacificWings,MIA,BOS,1258,2.09,Cloudy,2,340.0,18.96,21.55,1461.29,2802.2,10.51,7,2.84,1,1
FL10148,Airbus A350,4,4828,433,46,PacificWings,JFK,LAX,2475,5.06,Clear,1,312.22,34.15,15.6,2177.23,2938.09,11.01,8,2.68,0,1
FL10149,Boeing 777,10,18740,127,49,OceanAir,DFW,SEA,1660,2.91,Clear,1,277.58,37.8,16.87,2034.39,2923.75,11.32,6,23.94,0,0
FL10150,Airbus A350,6,36820,431,27,PacificWings,LAS,PHX,256,0.76,Rainy,3,321.21,21.62,23.52,311.66,3019.83,11.4,9,9.38,0,0
FL10151,Airbus A350,8,35610,331,17,Continental Express,DCA,SAN,2279,4.62,Rainy,3,340.0,24.45,22.12,3262.88,2826.58,11.03,7,20.86,0,0
FL10152,Airbus A320,10,35624,311,49,PacificWings,DCA,SAN,2279,4.8,Rainy,3,328.05,26.96,16.36,3126.12,2826.95,10.89,1,11.29,1,1
FL10153,Airbus A320,5,37027,364,38,AirGlobal,MIA,BOS,1258,2.24,Cloudy,2,302.16,24.81,22.32,1789.83,2804.92,10.87,5,18.23,0,0
FL10154,Boeing 787,7,41603,421,11,PacificWings,LAS,PHX,256,0.22,Clear,1,335.97,30.49,27.51,265.84,2828.68,10.91,0,4.33,0,0
FL10155,Boeing 737,15,27039,204,42,SkyConnect,MIA,BOS,1258,3.08,Clear,1,311.38,29.78,18.03,1451.5,3185.61,10.88,5,23.29,0,0
FL10156,Airbus A320,5,15138,125,19,SkyConnect,ATL,DEN,1199,2.07,Rainy,3,300.81,30.8,10.16,1357.03,2977.65,11.49,8,24.63,0,0
FL10157,Boeing 737,19,35704,109,36,AirGlobal,DFW,SEA,1660,3.48,Clear,1,288.57,40.6,24.74,2213.33,3133.46,10.94,9,21.02,0,0
FL10158,Airbus A350,4,44949,383,48,PacificWings,ORD,SFO,1846,3.88,Cloudy,2,333.89,25.72,19.52,2768.63,2860.21,11.32,3,11.24,0,0
FL10159,Airbus A350,7,10429,249,28,Continental Express,DFW,SEA,1660,2.95,Clear,1,314.45,35.71,14.2,1958.99,2891.1,11.46,4,15.78,0,0
FL10160,Airbus A350,5,29308,246,15,Continental Express,IAH,MCO,848,1.49,Cloudy,2,321.59,28.75,18.47,1253.96,3179.64,11.01,3,21.86,0,0
